username, created_at, lng, lat, text
Persevorante, Sat Jan 30 00:22:15 +0000 2021, -117.992475, 33.794812, #SEC FOR THE PEOPLE✊🏼✊🏼✊🏼$AMC $GME https://t.co/8vtY7BeWq5 
TylerGWalters, Sat Jan 30 00:22:17 +0000 2021, -93.262046, 44.970610, @mails24 @Timcast Look up what a short squeeze is. If things work out for $GME holders, several hedge funds will be… https://t.co/9jngKI8Lb0 
ClickThatFollow, Sat Jan 30 00:25:44 +0000 2021, -117.851089, 33.842863, We haven't won yet. Do not trust the media$GME &amp; $AMC identical chartsWe held and survived their traps todayK… https://t.co/mK4Go2Lokz 
janinedunmyre, Sat Jan 30 00:25:56 +0000 2021, -82.985772, 39.994684, @finch_rfoll @RachelBethCohen @OPCGhost She blocked me too. I came back to ask if she shorted $GME today? Hoping so😂😂😂 
wanderlustwlee, Sat Jan 30 00:26:17 +0000 2021, 120.955862, 24.220837, “Executives and insiders have been exiting at the same time Wallstreetbets participants have been pushing their mem… https://t.co/CgNdPP5poT 
theJRuss, Sat Jan 30 00:30:34 +0000 2021, -83.804475, 27.698682, Welp. Thanks $GME https://t.co/5I9jj0cYIQ 
tbowen07, Sat Jan 30 00:33:55 +0000 2021, -82.442694, 27.996595, Are you a trader? Are you mad yet? You should be! #DeleteRobinhood 
billrice, Sat Jan 30 00:34:52 +0000 2021, -83.227265, 42.138352, I decided to swing by and do a little investor due diligence tonight $GME https://t.co/SNWOGkhyg8 
kokiddo, Sat Jan 30 00:37:48 +0000 2021, 106.837755, -6.293493, @masmasjawabgt $doge is still getting pumped by the same group that pumped $amc, $gme and $nakd. They will be pushi… https://t.co/usos3Zj0ow 
itsreallyadam, Sat Jan 30 00:42:37 +0000 2021, -74.724323, 40.073041, So who made what off of $gme $amc $nok ? Ill start 
kokiddo, Sat Jan 30 00:42:44 +0000 2021, 106.837755, -6.293493, @masmasjawabgt Done kak https://t.co/krBcn1HvTy 
_MorgyJ, Sat Jan 30 00:45:34 +0000 2021, -98.716992, 35.309047, Hold down the fort this weekend. We don’t sell. We like the stock! $amc $gme $bb 🍿 next week is take off. 
Teoleo9450, Sat Jan 30 00:50:40 +0000 2021, -73.831187, 40.670879, Agreed 
LIZBAZURTOG, Sat Jan 30 01:02:15 +0000 2021, -118.411907, 34.020789, My take: I will buy a bunch of YOLO Calls in myself since I had discovered I had been sold short 200% and Low float… https://t.co/GOA8xfIwCK 
Videoclipsmiami, Sat Jan 30 01:04:08 +0000 2021, -83.804475, 27.698682, I love the great state of Texas 
caa1000, Sat Jan 30 01:04:47 +0000 2021, -81.476676, 28.140217, I smell #Enron2!  #RobinHood #GameStop #WallStreetBets #FAIL 
saidikian, Sat Jan 30 01:17:00 +0000 2021, -117.656773, 33.603508, @owlsinvesting had over $1.8 million in combined profits. What did you do this week? 🤫🤫🤫🤫$2 million coming soon.… https://t.co/Bwe5PXIu9c 
WernerLenhard, Sat Jan 30 01:21:08 +0000 2021, 7.185719, 50.769956, Lesen und sacken lassen. 
cryptoCanes, Sat Jan 30 01:28:21 +0000 2021, -80.285189, 26.078170, $trx 
lilachannah, Sat Jan 30 01:39:33 +0000 2021, 124.218069, 9.671712, So the reason $doge went to the moon tonight was a tweet by Elon Musk and a large discord trading group pumping the… https://t.co/T6NnXhBzQs 
NormBBT, Sat Jan 30 01:56:09 +0000 2021, -100.076888, 31.168893, DeepFuckingValue going to make more off the movie than the trade. 
luckypiccmee, Sat Jan 30 02:18:31 +0000 2021, 98.659186, 3.625666, So the reason $doge went to the moon tonight was a tweet by Elon Musk and a large discord trading group pumping the… https://t.co/srr4lEZydY 
Krohn_DC, Sat Jan 30 02:24:57 +0000 2021, -77.101999, 38.880845, For all the bullshit and turmoil that social media has wrought in our society this may just be its defining moment.… https://t.co/zCM0ubSrGc 
PaulDaytona22, Sat Jan 30 02:30:29 +0000 2021, -81.068556, 29.190223, Jesus said, "I am the Lord Jesus Christ, I died for your sins. Repent and come to Me before It's too late. I will s… https://t.co/bVYMNbCBaZ 
KeatonInglis, Sat Jan 30 02:32:10 +0000 2021, -86.270540, 45.001180, This week is all about investment mania with $GME $AMC &amp; #Dogecoin to go along with the #Robinhood vs.… https://t.co/c2BsPglAm7 
HarryAlford3, Sat Jan 30 02:34:38 +0000 2021, -77.014398, 38.898603, What’s happening is not about a single stock. This is about the disenfranchisement of an entire generation.… https://t.co/Q1JMSchMaz 
JonathanBesler, Sat Jan 30 02:35:06 +0000 2021, -114.087851, 51.027664, @Dioclet54046121 @Mordrake6 @FertilizerMkts @stacyherbert @maxkeiser @wsbmod That's only c.$125,000 $SLV plays righ… https://t.co/8SlsoPbm5B 
dewisiregar, Sat Jan 30 02:35:07 +0000 2021, 106.826796, -6.168961, A large discord that is partnered with #wallstreetbets is pumping #dogecoin. They already pushed $doge to 700% this… https://t.co/7cgtGwFKJS 
